Tipo_de_Ca,X,Y,Uso_del_Su,pH_seco,Cond_Seco,T_Seco,STD_seco,Sal_seco,CE,SAL
Aljibe,1190503.189,1784628.814,Forestal,7.32,3371.0,33.5,1652.0,1.816,3371.0,1.816
Pozo,1189652.785,1785304.974,Forestal,7.64,3616.0,32.6,1773.0,1.953,3616.0,1.953
Aljibe,1189473.366,1785434.105,Forestal,7.43,3131.0,34.2,1535.0,1.683,3131.0,1.683
Pozo,1190615.075,1788314.015,Forestal,7.97,2619.0,30.8,1284.0,1.284,2619.0,1.284
Aljibe,1233744.983,1800251.14,Forestal,6.82,9135.0,29.7,4477.0,5.167,9135.0,5.167
Aljibe,1234929.902,1802377.202,Forestal,6.71,6934.0,32.4,3398.0,3.859,6934.0,3.859
Aljibe,1231514.959,1804127.57,Forestal,7.37,26830.0,31.3,13150.0,16.55,26830.0,16.55
Aljibe,1231994.312,1804865.179,Forestal,6.93,9481.0,32.6,4803.0,59.8,9481.0,59.8
Aljibe,1235631.623,1806440.348,Forestal,7.17,6754.0,32.4,3310.0,3.755,6754.0,3.755
Aljibe,1236819.603,1806884.441,Forestal,6.83,7428.0,33.4,3460.0,4.15,7428.0,4.15
Aljibe,1237096.536,1807185.624,Forestal,6.82,6154.0,32.1,3016.0,3.402,6154.0,3.402
Aljibe,1237114.211,1807495.016,Forestal,6.98,16140.0,31.4,7907.0,9.52,16140.0,9.52
Aljibe,1238641.765,1809019.508,Forestal,6.92,4715.0,32.4,2311.0,2.575,4715.0,2.575
Aljibe,1239089.04,1809484.65,Forestal,6.91,7954.0,31.6,3898.0,4.463,7954.0,4.463
Aljibe,1239471.637,1811210.944,Forestal,7.02,6162.0,30.5,3020.0,3.407,6162.0,3.407
Aljibe,1236909.462,1812086.802,Forestal,7.39,29080.0,32.3,13760.0,17.43,29080.0,17.43
Pozo,1196739.011,1792622.555,Forestal,6.36,18740.0,33.0,9184.0,11.19,18740.0,11.19
Pozo,1195233.187,1788431.174,Forestal,6.96,4552.0,33.8,2231.0,2.481,4552.0,2.481
Pozo,1194005.619,1782985.468,Forestal,7.73,2210.0,32.3,1084.0,1.182,2210.0,1.182
Aljibe,1192065.75,1785559.656,Forestal,7.54,2576.0,33.3,1753.0,1.931,2576.0,1.931
Aljibe,1188273.198,1779092.744,Forestal,7.6,2413.0,32.2,1183.0,1.291,2413.0,1.291
Pozo,1227465.883,1789238.45,Forestal,6.75,10700.0,33.5,5241.0,6.12,10700.0,6.12
Aljibe,1205834.022,1778136.837,Forestal,7.35,1346.0,29.1,6596.0,7.823,1346.0,7.823
Aljibe,1202327.71,1783240.719,Forestal,7.28,1765.0,33.2,865.9,0.994,1765.0,0.994
Aljibe,1302630.476,1846703.923,Ganadería,4.95,2819.0,29.1,1382.0,1.512,2819.0,1.512
Aljibe,1302458.826,1846383.639,Ganadería,4.19,3787.0,30.2,1856.0,2.049,3787.0,2.049
Aljibe,1304789.241,1840001.813,,0.0,1126.0,27.9,552.0,0.608,1126.0,0.608
Aljibe,1310445.702,1840406.776,,0.0,11280.0,31.8,5530.0,6.484,11280.0,6.484
Pozo,1292855.0,1846697.0,,0.0,2066.0,31.0,1013.0,1.104,2066.0,1.104
Aljibe,1267636.812,1799692.184,Ganadería,7.28,2008.0,32.8,984.3,1.073,2008.0,1.073
Pozo,1185450.316,1728226.03,Forestal,7.1,624.8,26.9,306.7,0.354,624.8,0.354
Pozo,1131310.459,1765164.494,Forestal,8.3,1965.0,29.5,963.5,1.05,1965.0,1.05
Pozo,1131446.358,1764418.841,Forestal,8.1,2084.0,32.7,1024.0,1.116,2084.0,1.116
